experiment,condition,gpus,arrival,skew,tasks,steal_thr,mode,n,makespan_mean_ms,makespan_std_ms,tput_mean,tput_std,p99_mean_ms,p99_std_ms,imb_mean,imb_std,steals_mean,steals_std
weak,N=4,0,1,2,3,steady,imbalanced,131072,0.25,static-A,3,1397.70,3.91,93777,262,1396.71,3.91,1.3870,0.0000,0.0,0.0
weak,N=4,0,1,2,3,steady,imbalanced,131072,0.25,dyn-B,3,1690.84,19.50,77526,894,1658.50,19.51,0.1210,0.0079,85549.7,451.5
weak,N=4,0,1,2,3,steady,imbalanced,131072,0.25,ferry-C,3,856.27,4.54,153076,810,833.44,4.35,0.0603,0.0158,320.3,3.5
thr,thr=0.1,0,1,2,3,steady,imbalanced,32768,0.10,static-A,3,373.81,0.32,87660,74,373.44,0.33,1.3840,0.0000,0.0,0.0
thr,thr=0.1,0,1,2,3,steady,imbalanced,32768,0.10,dyn-B,3,440.98,10.86,74337,1838,432.75,10.83,0.1230,0.0066,21332.3,130.5
thr,thr=0.1,0,1,2,3,steady,imbalanced,32768,0.10,ferry-C,3,254.78,9.96,128745,5098,248.73,10.21,0.0300,0.0095,102.7,0.6
thr,thr=0.25,0,1,2,3,steady,imbalanced,32768,0.25,static-A,3,379.59,1.32,86326,303,379.21,1.29,1.3840,0.0000,0.0,0.0
thr,thr=0.25,0,1,2,3,steady,imbalanced,32768,0.25,dyn-B,3,431.68,19.77,76012,3429,423.16,19.47,0.1117,0.0085,21171.0,94.0
thr,thr=0.25,0,1,2,3,steady,imbalanced,32768,0.25,ferry-C,3,250.55,5.78,130829,3060,244.30,5.97,0.0427,0.0115,100.0,1.0
thr,thr=0.5,0,1,2,3,steady,imbalanced,32768,0.50,static-A,3,375.40,2.77,87290,646,375.01,2.81,1.3840,0.0000,0.0,0.0
thr,thr=0.5,0,1,2,3,steady,imbalanced,32768,0.50,dyn-B,3,449.37,7.95,72935,1286,440.57,7.82,0.1207,0.0023,21324.3,32.0
thr,thr=0.5,0,1,2,3,steady,imbalanced,32768,0.50,ferry-C,3,245.41,2.92,133535,1582,238.95,2.95,0.0457,0.0065,101.0,1.7
